Average Salary,Q1 - Which Title Best Fits your Current Role?.1,Q10 - Current Age,Q11 - Which Country do you live in?.1,Q13 - Ethnicity,Q12 - Highest Level of Education,Q2 - Did you switch careers into Data?,Q3 - Current Yearly Salary (in USD),Q4 - What Industry do you work in?.1,Q5 - Favorite Programming Language.1,Q6 - How Happy are you in your Current Position with the following? (Coworkers),Q6 - How Happy are you in your Current Position with the following? (Learning New Things),Q6 - How Happy are you in your Current Position with the following? (Management),Q6 - How Happy are you in your Current Position with the following? (Salary),Q6 - How Happy are you in your Current Position with the following? (Upward Mobility),Q6 - How Happy are you in your Current Position with the following? (Work/Life Balance),Q7 - How difficult was it for you to break into Data?,"Q8 - If you were to look for a new job today, what would be the most important thing to you?",Q9 - Male/Female?,Unique ID
20,Data Analyst,19,Other,Asian or Asian American,High School,Yes,0-40k,Tech,Python,,5,,,,,Neither easy nor difficult,Good Work/Life Balance,Female,62a436fd24a2626027397c93
20,Data Analyst,19,Other,White or Caucasian,Bachelors,No,0-40k,Tech,R,3,10,0,0,0,6,Neither easy nor difficult,Remote Work,Male,62ab8bf65d257a28a319e9cb
20,Data Analyst,20,United States,Black or African American,Bachelors,No,0-40k,Finance,Other,6,6,6,0,5,6,Neither easy nor difficult,Better Salary,Female,62a47c587dc029e2d66d9782
20,Data Analyst,21,India,Asian or Asian American,Bachelors,No,0-40k,Finance,Python,4,5,4,1,4,2,Neither easy nor difficult,Better Salary,Male,62a3636c2e54c9003e536e6b
20,Data Analyst,21,India,Asian or Asian American,Bachelors,No,0-40k,Tech,Python,8,9,7,8,7,7,Easy,Other (Please Specify):Opportunity to learn,Female,62a58b267dc029e2d66ea3f8
20,Data Analyst,21,India,Asian or Asian American,Bachelors,Yes,0-40k,Tech,Python,3,3,3,2,3,3,Difficult,Better Salary,Male,62a446faf8f7561645868c60
20,Data Analyst,22,India,Asian or Asian American,Bachelors,No,0-40k,Tech,Python,5,2,4,3,3,3,Difficult,Other (Please Specify):Good opportunities in projects and learnjng,Female,62a387e6575fa3a5ae8940a1
20,Data Analyst,22,India,Asian or Asian American,Bachelors,Yes,0-40k,Other,Python,5,7,7,6,5,3,Neither easy nor difficult,Good Work/Life Balance,Male,62a3944024a262602738cb07
20,Data Analyst,22,India,Other (Please Specify):Indian,"",No,0-40k,Tech,Other,8,10,8,8,5,8,Easy,Better Salary,Female,62a340f5bc6861bf3176caa4
20,Data Analyst,22,India,Other (Please Specify):Indian,Bachelors,No,0-40k,Tech,Python,7,7,5,3,8,8,Neither easy nor difficult,Better Salary,Male,62a393330a77c1a77f6662e4
20,Data Analyst,22,Other,Black or African American,"",Yes,0-40k,Tech,Python,4,2,2,1,2,2,Neither easy nor difficult,Better Salary,Male,62a33d850f8c8599d5af10cb
20,Data Analyst,22,Other,Black or African American,Bachelors,No,0-40k,Tech,Python,5,3,6,2,6,2,Neither easy nor difficult,Good Work/Life Balance,Male,62acc1f0cf255543173e59f7
20,Data Analyst,22,Other,Black or African American,Bachelors,Yes,0-40k,Other,Python,1,9,1,1,7,1,Neither easy nor difficult,Remote Work,Male,62a37d41bae91e4b8b8369f7
20,Data Analyst,22,Other,Native Hawaiian or other Pacific Islander,Bachelors,No,0-40k,Healthcare,Python,10,10,10,0,10,10,Difficult,Better Salary,Male,62a37a7818134ddc75cf0d4c
20,Data Analyst,22,Other,Other (Please Specify):Half Asian half African,Bachelors,Yes,0-40k,Finance,Other,3,4,3,2,2,3,Neither easy nor difficult,Good Work/Life Balance,Female,62a353565d257a28a30da59f
20,Data Analyst,22,Other,Other (Please Specify):Malay,Bachelors,No,0-40k,Other,Python,7,8,7,6,5,9,Neither easy nor difficult,Good Work/Life Balance,Male,62ab3e62bae91e4b8b8ebe14
20,Data Analyst,22,Other,White or Caucasian,Bachelors,No,0-40k,Finance,Python,5,6,5,2,6,6,Easy,Good Culture,Male,62a9bb81bc6861bf3180079c
20,Data Analyst,22,United Kingdom,White or Caucasian,Bachelors,Yes,0-40k,Healthcare,Other,5,9,7,6,7,7,Difficult,Better Salary,Female,62a8665c5d257a28a31474f7
20,Data Analyst,23,India,Asian or Asian American,Bachelors,No,0-40k,Tech,Python,2,1,1,0,1,1,Neither easy nor difficult,Remote Work,Male,62a84f9af408bae018f41e34
20,Data Analyst,23,India,Asian or Asian American,Bachelors,No,0-40k,Tech,Python,4,0,4,3,2,4,Neither easy nor difficult,Good Work/Life Balance,Male,62a8bf9e575fa3a5ae907617
20,Data Analyst,23,India,Asian or Asian American,Bachelors,Yes,0-40k,Education,Python,3,2,2,0,4,2,Neither easy nor difficult,Better Salary,Male,62af10295d257a28a31e6ff8
20,Data Analyst,23,Other,Asian or Asian American,Bachelors,Yes,0-40k,Tech,Python,5,8,5,4,6,5,Difficult,Good Work/Life Balance,Male,62a34fa418134ddc75ceb509
20,Data Analyst,23,Other,Hispanic or Latino,High School,No,0-40k,Other,Python,4,5,3,1,,4,Easy,Better Salary,Male,62a34b7ebae91e4b8b83076c
20,Data Analyst,23,Other,White or Caucasian,Bachelors,No,0-40k,Healthcare,Python,4,6,6,1,5,5,Neither easy nor difficult,Better Salary,Male,62a51fe0575fa3a5ae8b0c06
20,Data Analyst,23,Other,White or Caucasian,Bachelors,No,0-40k,Other,R,4,6,3,1,5,6,Neither easy nor difficult,Good Work/Life Balance,Female,62a34fbacec54911e9ca776f
20,Data Analyst,23,Other,White or Caucasian,Bachelors,No,0-40k,Real Estate,Python,9,8,5,4,2,7,Easy,Better Salary,Male,62a3715124a2626027388f02
20,Data Analyst,23,Other,White or Caucasian,Masters,Yes,0-40k,Tech,Python,9,4,6,3,9,9,Easy,Better Salary,Male,62af9ed7f3072dd892739279
20,Data Analyst,24,Other,Black or African American,"",No,0-40k,Tech,Python,8,8,8,7,3,8,Easy,Better Salary,Male,62a33e62575fa3a5ae88aabf
20,Data Analyst,24,Other,Black or African American,Associates,No,0-40k,Education,Python,0,10,9,0,5,10,Easy,Remote Work,Male,62a429f0f3072dd892636396
20,Data Analyst,24,Other,Black or African American,Bachelors,No,0-40k,Finance,Other,8,9,8,4,8,7,Neither easy nor difficult,Other (Please Specify):an environment that encourages growth like where I work currently and better salary,Male,62a3676bb4da29969c633ac7
20,Data Analyst,24,Other,Hispanic or Latino,"",Yes,0-40k,Other,Python,3,1,2,3,3,1,Neither easy nor difficult,Good Culture,Male,62a33f56cf255543173005e9
20,Data Analyst,24,Other,Other (Please Specify):African,Bachelors,Yes,0-40k,Tech,Python,4,10,5,5,7,4,Neither easy nor difficult,Remote Work,Male,62a5008c5d257a28a30fbde5
20,Data Analyst,24,Other,White or Caucasian,Bachelors,Yes,0-40k,Finance,Python,5,10,5,5,5,5,Neither easy nor difficult,Better Salary,Male,62a41e23bc6861bf3177fffb
20,Data Analyst,24,Other,White or Caucasian,High School,No,0-40k,Finance,Other,5,0,6,4,6,4,Difficult,Better Salary,Male,62a357d30f8c8599d5af4ea3
20,Data Analyst,25,India,Asian or Asian American,"",Yes,0-40k,Other,Python,8,7,7,8,7,7,Difficult,Good Work/Life Balance,Male,62a33ee0bae91e4b8b82eaec
20,Data Analyst,25,India,Asian or Asian American,Bachelors,Yes,0-40k,Tech,C/C++,0,5,2,0,2,0,Neither easy nor difficult,Good Work/Life Balance,Male,62a349e6b4da29969c63000c
20,Data Analyst,25,India,Asian or Asian American,Bachelors,Yes,0-40k,Tech,Python,1,2,0,0,0,1,Difficult,Better Salary,Male,62a3670b575fa3a5ae890422
20,Data Analyst,25,Other,Asian or Asian American,Bachelors,No,0-40k,Tech,Python,9,2,8,2,6,9,Easy,Better Salary,Male,62a3447a575fa3a5ae88b6c0
20,Data Analyst,25,Other,Asian or Asian American,Bachelors,Yes,0-40k,Other,Python,0,0,0,0,0,0,Very Difficult,Better Salary,Male,62a89e365d257a28a314fd36
20,Data Analyst,25,Other,Asian or Asian American,Bachelors,Yes,0-40k,Other,R,6,6,5,3,5,2,Neither easy nor difficult,Good Culture,Female,62a40d86d8c00e9f541afb5e
20,Data Analyst,25,Other,Black or African American,Bachelors,Yes,0-40k,Education,Python,2,3,3,2,4,1,Difficult,Remote Work,Male,62a5cb12cf25554317330d69
20,Data Analyst,25,Other,Black or African American,Bachelors,Yes,0-40k,Finance,C/C++,4,3,3,5,3,2,Difficult,Good Work/Life Balance,Female,62a350f7f3072dd892624d05
20,Data Analyst,25,Other,Black or African American,Bachelors,Yes,0-40k,Healthcare,Python,8,6,5,5,5,8,Neither easy nor difficult,Better Salary,Male,62a46a66f8d5efcc22f95a7a
20,Data Analyst,25,Other,Black or African American,High School,Yes,0-40k,Tech,Python,4,3,3,3,3,2,Neither easy nor difficult,Better Salary,Male,62a6246df3072dd892659218
20,Data Analyst,25,Other,Hispanic or Latino,Bachelors,Yes,0-40k,Other,Python,7,10,4,7,8,4,Easy,Good Work/Life Balance,Male,62a39bd324a262602738d725
20,Data Analyst,25,Other,Other (Please Specify):Egyp,Bachelors,Yes,0-40k,Tech,Python,1,2,1,0,1,1,Very Difficult,Better Salary,Male,62a3cbfef8d5efcc22f8b6f1
20,Data Analyst,25,Other,Other (Please Specify):Indian,High School,No,0-40k,Finance,Python,4,10,10,1,10,7,Neither easy nor difficult,Better Salary,Male,62a51dc6575fa3a5ae8b09f3
20,Data Analyst,25,Other,White or Caucasian,Bachelors,No,0-40k,Other,Other,5,4,5,5,3,2,Difficult,Better Salary,Male,62a37128d8c00e9f541a39dd
20,Data Analyst,25,Other,White or Caucasian,Bachelors,No,0-40k,Other,Python,10,8,8,6,6,6,Neither easy nor difficult,Better Salary,Male,62a39e03f408bae018eded39
20,Data Analyst,25,Other,White or Caucasian,Bachelors,Yes,0-40k,Healthcare,Python,5,5,5,3,4,4,Difficult,Good Work/Life Balance,Male,62a79c9c2e54c9003e58f0d5
20,Data Analyst,25,Other,White or Caucasian,Bachelors,Yes,0-40k,Other,Python,9,10,9,6,10,6,Neither easy nor difficult,Remote Work,Male,62a7b0ae0f8c8599d5b51cd0
20,Data Analyst,25,Other,White or Caucasian,Masters,No,0-40k,Finance,Python,7,4,6,6,2,8,Easy,Other (Please Specify):Intresting work,Male,62a3baa624a262602738ff27
20,Data Analyst,25,United States,White or Caucasian,Bachelors,Yes,0-40k,Finance,Python,10,1,5,1,3,10,Neither easy nor difficult,Better Salary,Female,62a3cfed0f8c8599d5b00b12
20,Data Analyst,26,India,Asian or Asian American,Bachelors,No,0-40k,Healthcare,Python,8,7,7,6,6,7,Neither easy nor difficult,Better Salary,Male,62a5a931cec54911e9cd3333
20,Data Analyst,26,India,Asian or Asian American,Bachelors,No,0-40k,Other,Python,0,0,0,0,0,0,Easy,Good Work/Life Balance,Female,62a45c8bf3072dd89263a493
20,Data Analyst,26,India,Asian or Asian American,Bachelors,No,0-40k,Tech,Python,8,2,8,7,4,9,Neither easy nor difficult,Better Salary,Male,62a764ffd8c00e9f541f3cc3
20,Data Analyst,26,India,Asian or Asian American,Bachelors,Yes,0-40k,Finance,Python,,,,2,,,Very Easy,Better Salary,Male,62a41795cec54911e9cb8854
20,Data Analyst,26,India,Asian or Asian American,Masters,No,0-40k,Finance,Python,9,9,9,8,9,9,Neither easy nor difficult,Better Salary,Female,62a4d08bf3072dd892642d2c
20,Data Analyst,26,India,Other (Please Specify):Indian,Bachelors,Yes,0-40k,Healthcare,Python,6,6,5,7,6,4,Difficult,Remote Work,Male,62a42d6ef8d5efcc22f9178a
20,Data Analyst,26,Other,Asian or Asian American,Bachelors,No,0-40k,Tech,Python,8,9,5,3,7,8,Easy,Better Salary,Male,62a9e206f3072dd8926bce70
20,Data Analyst,26,Other,Black or African American,Bachelors,Yes,0-40k,Finance,Python,9,10,9,0,0,5,Neither easy nor difficult,Remote Work,Male,62a3c8652e54c9003e54103e
20,Data Analyst,26,Other,Black or African American,Bachelors,Yes,0-40k,Healthcare,R,4,5,3,2,3,3,Neither easy nor difficult,Good Work/Life Balance,Male,62a7b283f8d5efcc22fdc189
20,Data Analyst,26,Other,Black or African American,High School,No,0-40k,Real Estate,R,8,9,6,3,6,7,Difficult,Remote Work,Male,62a64b4dd8c00e9f541d6d81
20,Data Analyst,26,Other,Hispanic or Latino,Bachelors,No,0-40k,Other,Python,6,3,6,3,4,6,Neither easy nor difficult,Better Salary,Male,62a38975b4da29969c637830
20,Data Analyst,26,Other,Other (Please Specify):Bangladeshi,Bachelors,Yes,0-40k,Tech,Python,4,8,3,3,7,2,Easy,Good Work/Life Balance,Male,62a3ac4bf8f756164585ea83
20,Data Analyst,26,Other,Other (Please Specify):Kurdish,Bachelors,Yes,0-40k,Telecommunication,Python,8,9,9,5,7,8,Very Easy,Better Salary,Male,62a36d3124a262602738862c
20,Data Analyst,26,Other,White or Caucasian,Bachelors,Yes,0-40k,Finance,Python,5,5,4,5,3,2,Neither easy nor difficult,Good Work/Life Balance,Male,62a38733f8d5efcc22f859fc
20,Data Analyst,26,Other,White or Caucasian,Bachelors,Yes,0-40k,Healthcare,Python,6,5,5,2,4,6,Easy,Better Salary,Female,62a35130f3072dd892624d9f
20,Data Analyst,27,India,Asian or Asian American,Bachelors,Yes,0-40k,Other,R,8,6,8,3,6,9,Difficult,Better Salary,Male,62af53ce0f8c8599d5c04934
20,Data Analyst,27,Other,Black or African American,Bachelors,Yes,0-40k,Education,Python,5,0,0,0,0,0,Difficult,Good Culture,Male,62a3a1a62e54c9003e53dc35
20,Data Analyst,27,Other,Black or African American,Masters,Yes,0-40k,Healthcare,Python,2,3,1,0,0,1,Neither easy nor difficult,Better Salary,Female,62a475dcf408bae018eed15c
20,Data Analyst,27,Other,Hispanic or Latino,Bachelors,No,0-40k,Other,Python,9,7,9,8,8,8,Neither easy nor difficult,Better Salary,Male,62a39b6cf408bae018ede929
20,Data Analyst,27,Other,White or Caucasian,Masters,No,0-40k,Other,Python,5,5,5,5,5,5,Neither easy nor difficult,Remote Work,Female,62a3688df8f7561645857f7e
20,Data Analyst,27,United States,Black or African American,Bachelors,No,0-40k,Other,Python,1,0,6,0,0,7,Easy,Better Salary,Male,62aa34e8f3072dd8926c7d56
20,Data Analyst,27,United States,White or Caucasian,High School,Yes,0-40k,Tech,R,7,9,6,0,3,8,Very Difficult,Better Salary,Male,62a618a9d8c00e9f541d3537
20,Data Analyst,28,Canada,Asian or Asian American,Bachelors,Yes,0-40k,Other,Python,8,10,5,5,7,10,Very Difficult,Other (Please Specify):Salary and expo,Male,62a3f6a25d257a28a30e9d02
20,Data Analyst,28,India,Other (Please Specify):South Indian,Bachelors,Yes,0-40k,Tech,Python,5,4,5,1,4,7,Difficult,Better Salary,Male,62a8fe9abc6861bf317f0c01
20,Data Analyst,28,Other,Asian or Asian American,Bachelors,Yes,0-40k,Other,Python,5,6,5,5,5,5,Neither easy nor difficult,Better Salary,Female,62a487167dc029e2d66da73e
20,Data Analyst,28,Other,Black or African American,"",No,0-40k,Other,Python,1,0,1,1,2,1,Very Difficult,Better Salary,Male,62a33de124a26260273826b2
20,Data Analyst,28,Other,Black or African American,Bachelors,Yes,0-40k,Healthcare,Python,5,8,1,1,7,8,Neither easy nor difficult,Remote Work,Male,62a43ed4f8d5efcc22f92d0a
20,Data Analyst,28,Other,Black or African American,Bachelors,Yes,0-40k,Other,Other,5,3,3,2,0,0,Very Difficult,Remote Work,Male,62a962380f8c8599d5b7e3fb
20,Data Analyst,28,Other,Black or African American,Bachelors,Yes,0-40k,Telecommunication,Python,4,2,2,3,2,2,Neither easy nor difficult,Good Culture,Male,62a352f00a77c1a77f65eae7
20,Data Analyst,28,Other,Black or African American,Masters,Yes,0-40k,Education,Python,2,4,3,1,3,2,Neither easy nor difficult,Better Salary,Male,62a36b6c24a26260273882a2
20,Data Analyst,28,Other,Hispanic or Latino,Bachelors,Yes,0-40k,Tech,Python,9,8,9,8,10,10,Neither easy nor difficult,Better Salary,Female,62a3496e575fa3a5ae88c4e6
20,Data Analyst,28,Other,Hispanic or Latino,Bachelors,Yes,0-40k,Telecommunication,Python,5,2,5,0,2,8,Easy,Better Salary,Male,62a4926ef408bae018eef4ee
20,Data Analyst,28,Other,Hispanic or Latino,Masters,Yes,0-40k,Healthcare,Python,9,9,6,8,8,10,Easy,Remote Work,Female,62a609b8f8f75616458875b7
20,Data Analyst,28,Other,White or Caucasian,"",Yes,0-40k,Healthcare,Python,8,1,8,5,7,6,Neither easy nor difficult,Remote Work,Male,62a33e38f3072dd8926221d3
20,Data Analyst,28,United Kingdom,Black or African American,Masters,Yes,0-40k,Healthcare,R,6,3,4,3,6,6,Very Easy,Better Salary,Female,62a9024d18134ddc75d6e76d
20,Data Analyst,28,United Kingdom,Black or African American,Masters,Yes,0-40k,Tech,Python,7,1,7,1,7,7,Difficult,Better Salary,Female,62a424ccd8c00e9f541b114e
20,Data Analyst,28,United States,Asian or Asian American,Masters,Yes,0-40k,Construction,Python,0,0,0,0,0,0,Very Difficult,Better Salary,Female,62a77a37f8d5efcc22fd4e47
20,Data Analyst,29,India,Asian or Asian American,Bachelors,No,0-40k,Tech,Python,4,2,5,3,4,5,Neither easy nor difficult,Better Salary,Male,62a389b70f8c8599d5afad1a
20,Data Analyst,29,Other,Black or African American,Bachelors,Yes,0-40k,Tech,Python,,6,,0,,3,Neither easy nor difficult,Remote Work,Male,62a369280a77c1a77f661ad0
20,Data Analyst,29,Other,Black or African American,Bachelors,Yes,0-40k,Tech,Python,1,6,5,1,6,2,Neither easy nor difficult,Better Salary,Female,62a34a03cec54911e9ca6869
